"","Project","Hours"
"1","Actuarial Calculus",68.3541666666667
"2","Actuarial Calculus I",44.2169444444444
"3","Adminstration",15.215
"4","AEF",33.7633333333333
"5","button",0.290277777777778
"6","Calculus",6.71861111111111
"7","CFA prep",62.5769444444444
"8","Codeacademy",1.14111111111111
"9","compfin",0.601111111111111
"10","Data Products",11.5433333333333
"11","Differential Equations",77.095
"12","Finance Study",42.2938888888889
"13","Futures&oDerivatives",35.6666666666667
"14","German",177.844255
"15","Homeworks",38.4447222222222
"16","Humanisticas",0.752777777777778
"17","IdO",95.9058333333333
"18","IPC",15.5305555555556
"19","Job Extra",10.9533333333333
"20","Mathematical Analysis",62.7211111111111
"21","Numerical Methods",16.6288888888889
"22","PRA",43.4272222222222
"23","Practical Machine Learning",31.3747222222222
"24","Probability",103.798055555556
"25","Project Euler",26.0138888888889
"26","Python",40.8844444444444
"27","Quantopian",19.3616666666667
"28","R",1.57083333333333
"29","Read",1.90666666666667
"30","Regression Models",35.8666666666667
"31","RKI",12.2333333333333
"32","School Extra",3.59861111111111
"33","School Study ",3.23388888888889
"34","Statistical Inference",33.7011111111111
"35","Statistics",108.3725
"36","T&E",19.1636111111111
"37","ThinkStats2",18.8463888888889
"38","VBA",24.2452777777778
